,sr_id,error_codes,log_timestamp
2132,1-172401413371,200001808,2015-06-02 16:37:37
2133,1-172401413371,200001818,2015-06-02 16:37:38
2134,1-172401413371,200001818,2015-06-02 16:37:38
2135,1-172401413371,200001818,2015-06-02 16:37:38
2136,1-172401413371,0,2015-06-02 16:37:38
2137,1-172401413371,200302682,2015-06-02 16:37:38
2138,1-172401413371,200001818,2015-06-02 16:37:38
2139,1-172401413371,200001808,2015-06-02 16:37:39
2140,1-172401413371,200001808,2015-06-02 16:37:39
2141,1-172401413371,200001808,2015-06-02 16:37:39
2142,1-172401413371,200001808,2015-06-02 16:37:39
2143,1-172401413371,200001808,2015-06-02 16:37:39
2144,1-172401413371,200001808,2015-06-02 16:37:39
2145,1-172401413371,200001808,2015-06-02 16:37:39
2146,1-172401413371,200281001,2015-06-02 16:37:39
2147,1-172401413371,200281001,2015-06-02 16:37:39
2148,1-172401413371,200281001,2015-06-02 16:37:39
2149,1-172401413371,200002331,2015-06-02 16:37:39
2150,1-172401413371,200002391,2015-06-02 16:37:39
2151,1-172401413371,200280011,2015-06-02 16:37:39
2152,1-172401413371,200280011,2015-06-02 16:37:39
2153,1-172401413371,200280011,2015-06-02 16:37:39
2154,1-172401413371,200280011,2015-06-02 16:37:39
2155,1-172401413371,200280011,2015-06-02 16:37:39
2156,1-172401413371,200001808,2015-06-02 16:37:39
2157,1-172401413371,200501531,2015-06-02 16:37:44
2158,1-172401413371,200520002,2015-06-02 16:37:44
2159,1-172401413371,290009014,2015-06-02 16:37:45
2160,1-172401413371,200002392,2015-06-02 16:37:47
2161,1-172401413371,200002395,2015-06-02 16:37:47
2162,1-172401413371,200002348,2015-06-02 16:38:15
2163,1-172401413371,200501502,2015-06-02 16:38:15
2164,1-172401413371,200002396,2015-06-02 16:38:15
2165,1-172401413371,0,2015-06-02 16:41:09
2166,1-172401413371,200002347,2015-06-02 16:41:16
2167,1-172401413371,200302681,2015-06-02 16:41:16
2168,1-172401413371,200002305,2015-06-02 16:41:16
2169,1-172401413371,230020200,2015-06-02 16:41:17
2170,1-172401413371,200002389,2015-06-02 16:41:18
2171,1-172401413371,260140030,2015-06-02 16:41:19
2172,1-172401413371,260140018,2015-06-02 16:41:19
2173,1-172401413371,230018036,2015-06-02 16:41:20
2174,1-172401413371,200002393,2015-06-02 16:41:26
2175,1-172401413371,200002390,2015-06-02 16:41:26
2176,1-172401413371,200002394,2015-06-02 16:41:35
2177,1-172401413371,0,2015-06-02 16:41:56
2178,1-172401413371,260140029,2015-06-02 16:42:05
2179,1-172401413371,230020406,2015-06-02 16:42:05
2180,1-172401413371,230020406,2015-06-02 16:42:05
2181,1-172401413371,260140029,2015-06-02 16:42:05
2182,1-172401413371,200285063,2015-06-02 16:42:13
2183,1-172401413371,200001830,2015-06-02 16:42:13
2184,1-172401413371,200288002,2015-06-02 16:42:13
2185,1-172401413371,200001804,2015-06-02 16:42:13
2186,1-172401413371,14160,2015-06-02 16:42:13
2187,1-172401413371,200620012,2015-06-02 16:42:14
2188,1-172401413371,200000003,2015-06-02 16:42:14
2189,1-172401413371,200001830,2015-06-02 16:42:15
2190,1-172401413371,200001830,2015-06-02 16:42:15
2191,1-172401413371,200281001,2015-06-02 16:42:17
2192,1-172401413371,200281001,2015-06-02 16:42:17
2193,1-172401413371,200281001,2015-06-02 16:42:17
2194,1-172401413371,260140038,2015-06-02 16:42:20
2195,1-172401413371,260140038,2015-06-02 16:42:22
2196,1-172401413371,200001810,2015-06-02 16:42:23
2197,1-172401413371,200001803,2015-06-02 16:42:23
2198,1-172401413371,200001804,2015-06-02 16:42:23
2199,1-172401413371,200001810,2015-06-02 16:42:23
2200,1-172401413371,200002792,2015-06-02 16:42:24
2201,1-172401413371,200003404,2015-06-02 16:42:24
2202,1-172401413371,200003403,2015-06-02 16:42:24
2203,1-172401413371,200003405,2015-06-02 16:42:24
2204,1-172401413371,200003402,2015-06-02 16:42:24
2205,1-172401413371,200003404,2015-06-02 16:42:24
2206,1-172401413371,200003403,2015-06-02 16:42:24
2207,1-172401413371,200003405,2015-06-02 16:42:24
2208,1-172401413371,245191,2015-06-02 16:42:24
2209,1-172401413371,200501534,2015-06-02 16:42:27
2210,1-172401413371,200501536,2015-06-02 16:42:27
2211,1-172401413371,200001830,2015-06-02 16:42:27
2212,1-172401413371,200501530,2015-06-02 16:42:27
2213,1-172401413371,200190000,2015-06-02 16:42:28
2214,1-172401413371,200190000,2015-06-02 16:42:28
2215,1-172401413371,200190000,2015-06-02 16:42:28
2216,1-172401413371,260140038,2015-06-02 16:42:40
2217,1-172401413371,260140038,2015-06-02 16:42:41
2218,1-172401413371,260111019,2015-06-02 16:42:48
2219,1-172401413371,260125003,2015-06-02 16:42:48
2220,1-172401413371,260116315,2015-06-02 16:42:48
2221,1-172401413371,260116316,2015-06-02 16:42:48
2222,1-172401413371,290013000,2015-06-02 16:42:52
2223,1-172401413371,260142511,2015-06-02 16:42:54
2224,1-172401413371,290013001,2015-06-02 16:42:56
2225,1-172401413371,200352909,2015-06-02 16:42:56
2226,1-172401413371,200002379,2015-06-02 16:42:56
2227,1-172401413371,244649,2015-06-02 16:42:56
2228,1-172401413371,244585,2015-06-02 16:42:59
2229,1-172401413371,244657,2015-06-02 16:43:00
2230,1-172401413371,200108007,2015-06-02 16:55:23
2231,1-172401413371,200109109,2015-06-02 16:56:39
2232,1-172374512951,200109109,2015-06-02 16:57:45
2233,1-172401413371,200281001,2015-06-02 16:58:23
2234,1-172401413371,200281001,2015-06-02 17:00:14
2235,1-172401413371,200281001,2015-06-02 17:01:19
2236,1-172401413371,200281001,2015-06-02 17:01:27
2237,1-172401413371,200281001,2015-06-02 17:01:49
2238,1-172401413371,200281001,2015-06-02 17:01:52
2239,1-172401413371,200281001,2015-06-02 17:02:29
2240,1-172401413371,200281001,2015-06-02 17:02:35
2241,1-172401413371,200109110,2015-06-02 17:03:01
2242,1-172401413371,210000454,2015-06-02 17:03:02
2243,1-172401413371,0,2015-06-02 17:06:47
2244,1-172401413371,200600034,2015-06-02 17:17:02
2245,1-172401413371,0,2015-06-02 17:21:41
2246,1-172401413371,0,2015-06-02 17:21:54
2247,1-172374512951,200109110,2015-06-02 17:24:59
2248,1-172374512951,200109109,2015-06-02 17:25:16
2249,1-172374512951,260134703,2015-06-02 17:37:57
2250,1-172401413371,200600034,2015-06-02 17:41:17
2251,1-172374512951,245041,2015-06-02 17:45:11
2252,1-172374512951,245303,2015-06-02 17:45:11
2253,1-172374512951,200281001,2015-06-02 17:45:34
2254,1-172374512951,200281001,2015-06-02 17:47:12
2255,1-172401413371,0,2015-06-02 17:47:12
2256,1-172374512951,200281001,2015-06-02 17:47:58
2257,1-172374512951,200281001,2015-06-02 17:48:04
2258,1-172374512951,200281001,2015-06-02 17:48:44
2259,1-172374512951,200281001,2015-06-02 17:48:50
2260,1-172374512951,245303,2015-06-02 17:49:08
2261,1-172374512951,245041,2015-06-02 17:49:08
2262,1-172374512951,200109110,2015-06-02 17:49:24
2263,1-172374512951,210000454,2015-06-02 17:49:25
2264,1-172620856351,200109109,2015-06-02 17:56:38
2265,1-172620856351,200109110,2015-06-02 17:58:32
2266,1-172620856351,200281001,2015-06-02 17:58:32
2267,1-172620856351,200281001,2015-06-02 17:59:36
2268,1-172620856351,210000454,2015-06-02 17:59:36
2269,1-172620856351,200281001,2015-06-02 18:00:21
2270,1-172620856351,200281001,2015-06-02 18:00:28
2271,1-172374512951,200109109,2015-06-02 18:08:22
2272,1-172401413371,0,2015-06-02 18:21:45
2273,1-172620856351,200109109,2015-06-02 18:34:39
2274,1-172620856351,245279,2015-06-02 18:35:26
2275,1-172620856351,200109110,2015-06-02 18:36:14
2276,1-172620856351,200281001,2015-06-02 18:36:14
2277,1-172620856351,200281001,2015-06-02 18:36:47
2278,1-172620856351,210000454,2015-06-02 18:36:47
2279,1-172620856351,200281001,2015-06-02 18:37:22
2280,1-172620856351,200281001,2015-06-02 18:37:28
2281,1-172374512951,260134703,2015-06-02 18:45:42
2282,1-172374512951,200281001,2015-06-02 18:58:17
2283,1-172374512951,200109110,2015-06-02 18:58:17
2284,1-172374512951,200281001,2015-06-02 18:59:01
2285,1-172374512951,210000454,2015-06-02 18:59:12
2286,1-172374512951,200281001,2015-06-02 18:59:35
2287,1-172374512951,200281001,2015-06-02 18:59:41
2288,1-172374512951,200600034,2015-06-02 18:59:46
2289,1-172374512951,200281001,2015-06-02 19:00:07
